Game,AppId
Agents of Mayhem,304530
Ages of Mages : The last keeper,820610
AGON - The Lost Sword of Toledo,410130
AGON - The Mysterious Codex (Trilogy),410120
Agony UNRATED,879420
AGP::Epica,398120
Agricola: All Creatures Big and Small,528180
Aground,876650
Aground Zero,1795570
AHEGAL,865090
AHEGAL SEASONS,1106860
Ahnayro: The Dream World,449730
AI Rebellion,624430
AI War 2,573410
AI War: Fleet Command,40400
AI: Rampage,438020
AI: The Somnium Files,948740
AI: THE SOMNIUM FILES - nirvanA Initiative,1449200
Aiball,490990
AIdol,829210
Aion,373680
AIPD - Artificial Intelligence Police Department,390930
Airborne Kingdom,982290
AirBuccaneers,223630
Aircraft Carrier Survival,1021100
Aircraft Evolution,597030
AirMech,206500
AirMech Wastelands,595770
AirMech® Command,364630
Airport Madness 3D,445770
Airport Madness 3D: Volume 2,748610
Airport Madness 4,387850
Airport Madness: Time Machine,402210
Airport Madness: World Edition,369290
AirportSim,1715280
Airscape: The Fall of Gravity,317250
Airship Asunder,474730
Airship Dragoon,308380
Airstrike HD,453980
Aisling and the Tavern of Elves,1444360
AK-xolotl: Together,1479140
Aka,1591450
Aka Manto | 赤マント,1130620
Akane,884260
Akane the Kunoichi,291130
Akash: Path of the Five,1098370
AKIBA'S TRIP: Hellbound & Debriefed,1236780
AKIBA'S TRIP: Undead & Undressed,333980
Akihabara - Feel the Rhythm,565660
Akin,487370
Akka Arrh,2005680
Akuatica,401330
Akuto: Showdown,530130
Al Emmo and the Lost Dutchman's Mine,296850
Al Emmo's Postcards from Anozira,375020
Aladdin - Hidden Objects Game,1258480
Alan Wake,108710
Alan's Automaton Workshop,1289990
Alaskan Road Truckers,849100
Albedo: Eyes from Outer Space,277520
Albert and Otto: The Adventure Begins,368590
Albino Lullaby: Episode 1,355860
Albion Online,761890
Alchemic Jousts,516890
Alchemist Adventure,521620
Alchemist's Awakening,431450
Alchemy Garden,935400
Alchemy Mysteries: Prague Legends,326190
Alchemyland,610670
Alder's Blood: Definitive Edition,820020
Ale & Tale Tavern,2683150
Alekhine's Gun,406720
Alex Hunter - Lord of the Mind,266940
Alexia Crow,365280
Algo Bot,286300
Algotica Iterations,593330
Alia's Carnival! Flowering Sky,2425410
ALIA’s CARNIVAL！,1094530
Alice in Wonderland,316030
ALICE VR,513320
Alice's Adventures,839670
Alice's Patchwork,444280
Alice's Patchworks 2,523160
Alicemare,524850
Alicia Griffith – Lakeside Murder,569380
Alien Arena: Warriors Of Mars,629540
Alien Attack,391310
Alien Blitz,434240
Alien Hominid HD,1285360
Alien Hominid Invasion,843200
Alien Hostage,562430
Alien Robot Monsters,391250
Alien Shooter,33100
Alien Shooter 2 - The Legend,1007400
Alien Shooter 2 Conscription,211010
Alien Shooter 2: Reloaded,33120
Alien Shooter TD,541230
Alien Shooter: Revisited,33110
Aliens Go Home Run,514340
Aliens: Dark Descent,1150440
Aliens: Fireteam Elite,1549970
Alina of the Arena,1668690
Alive,2258350
All Alone: VR,604830
All Fall Down,391910
All Walls Must Fall,628290
All-Star Fruit Racing,673190
Allods Online,459160
Allods Online RU,381640
Alluris,1078510
Almightree: The Last Dreamer,368050
Almost My Floor,1298080
Almost There: The Platformer,951940
Aloha Paradise Hotel,598820
Alone in the Dark,1310410
Alone in the Dark: Illumination,275060
Alone K.W.,442000
Alone With You,564940
ALONE?,514240
ALONE? - VR,529500
Along the Edge,504390
Alpacapaca Dash,579230
Alpha Hole Prison,1237040
Alpha Kimori™ Episode One,265870
